primary_key,codes,Perm_crop,year,area_ha
150,1111601,Olival,1999,11
151,1111601,Olival,2009,8
152,1111601,Olival,2019,11
153,1111601,Vinha,1989,806
154,1111601,Vinha,1999,800
155,1111601,Vinha,2009,480
156,1111601,Vinha,2019,475
157,1111601,Outras culturas permanentes,1989,7
158,1111601,Outras culturas permanentes,1999,11
159,1111601,Outras culturas permanentes,2009,8
160,1111601,Outras culturas permanentes,2019,2
161,111160101,Total,1989,29
162,111160101,Total,1999,14
163,111160101,Total,2009,9
164,111160101,Total,2019,13
165,111160101,Frutos frescos (excepto citrinos),1989,
166,111160101,Frutos frescos (excepto citrinos),1999,
167,111160101,Frutos frescos (excepto citrinos),2009,
168,111160101,Frutos frescos (excepto citrinos),2019,
169,111160101,Citrinos,1989,
170,111160101,Citrinos,1999,
171,111160101,Citrinos,2009,
172,111160101,Citrinos,2019,0
173,111160101,Frutos sub-tropicais,1989,
174,111160101,Frutos sub-tropicais,1999,
175,111160101,Frutos sub-tropicais,2009,
176,111160101,Frutos sub-tropicais,2019,
177,111160101,Frutos de casca rija,1989,
178,111160101,Frutos de casca rija,1999,
179,111160101,Frutos de casca rija,2009,
180,111160101,Frutos de casca rija,2019,0
181,111160101,Olival,1989,0
182,111160101,Olival,1999,
183,111160101,Olival,2009,
184,111160101,Olival,2019,
185,111160101,Vinha,1989,28
186,111160101,Vinha,1999,14
187,111160101,Vinha,2009,9
188,111160101,Vinha,2019,12
189,111160101,Outras culturas permanentes,1989,
190,111160101,Outras culturas permanentes,1999,
191,111160101,Outras culturas permanentes,2009,
192,111160101,Outras culturas permanentes,2019,
193,111160102,Total,1989,15
194,111160102,Total,1999,20
195,111160102,Total,2009,17
196,111160102,Total,2019,16
197,111160102,Frutos frescos (excepto citrinos),1989,0
198,111160102,Frutos frescos (excepto citrinos),1999,
199,111160102,Frutos frescos (excepto citrinos),2009,
200,111160102,Frutos frescos (excepto citrinos),2019,
201,111160102,Citrinos,1989,0
202,111160102,Citrinos,1999,
203,111160102,Citrinos,2009,
204,111160102,Citrinos,2019,
205,111160102,Frutos sub-tropicais,1989,
206,111160102,Frutos sub-tropicais,1999,
207,111160102,Frutos sub-tropicais,2009,
208,111160102,Frutos sub-tropicais,2019,
209,111160102,Frutos de casca rija,1989,
210,111160102,Frutos de casca rija,1999,
211,111160102,Frutos de casca rija,2009,0
212,111160102,Frutos de casca rija,2019,
213,111160102,Olival,1989,1
214,111160102,Olival,1999,
215,111160102,Olival,2009,
216,111160102,Olival,2019,1
217,111160102,Vinha,1989,14
218,111160102,Vinha,1999,20
219,111160102,Vinha,2009,17
220,111160102,Vinha,2019,15
221,111160102,Outras culturas permanentes,1989,
222,111160102,Outras culturas permanentes,1999,
223,111160102,Outras culturas permanentes,2009,
224,111160102,Outras culturas permanentes,2019,
225,111160104,Total,1989,13
226,111160104,Total,1999,8
227,111160104,Total,2009,5
228,111160104,Total,2019,10
229,111160104,Frutos frescos (excepto citrinos),1989,1
230,111160104,Frutos frescos (excepto citrinos),1999,0
231,111160104,Frutos frescos (excepto citrinos),2009,
232,111160104,Frutos frescos (excepto citrinos),2019,2
233,111160104,Citrinos,1989,
234,111160104,Citrinos,1999,0
235,111160104,Citrinos,2009,0
236,111160104,Citrinos,2019,1
237,111160104,Frutos sub-tropicais,1989,
238,111160104,Frutos sub-tropicais,1999,
239,111160104,Frutos sub-tropicais,2009,
240,111160104,Frutos sub-tropicais,2019,
241,111160104,Frutos de casca rija,1989,0
242,111160104,Frutos de casca rija,1999,
243,111160104,Frutos de casca rija,2009,
244,111160104,Frutos de casca rija,2019,0
245,111160104,Olival,1989,0
246,111160104,Olival,1999,0
247,111160104,Olival,2009,0
248,111160104,Olival,2019,0
249,111160104,Vinha,1989,12
250,111160104,Vinha,1999,8
251,111160104,Vinha,2009,5
252,111160104,Vinha,2019,7
253,111160104,Outras culturas permanentes,1989,
254,111160104,Outras culturas permanentes,1999,
255,111160104,Outras culturas permanentes,2009,
256,111160104,Outras culturas permanentes,2019,
257,111160105,Total,1989,6
258,111160105,Total,1999,6
259,111160105,Total,2009,1
260,111160105,Total,2019,2
261,111160105,Frutos frescos (excepto citrinos),1989,
262,111160105,Frutos frescos (excepto citrinos),1999,0
263,111160105,Frutos frescos (excepto citrinos),2009,
264,111160105,Frutos frescos (excepto citrinos),2019,
265,111160105,Citrinos,1989,0
266,111160105,Citrinos,1999,0
